nauplii						Strel'nikova, A.P. and M.N. Ivanova. 1982. Feeding of smelt, <i>Osmerus eperlanus</i> (Osmeridae), in early ontogenesis in the Rybinsk Reservoir. J. Ichthyol. 22(3):48-54.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
nauplii						Tudela, S., I. Palomera and G. Quílez. 2002. Feeding of anchovy <i>Engraulis encrasicolus</i> larvae in the north-west Mediterranean. J. Mar. Biol. Ass. U.K. 82(2):349-350.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
nauplii						Weatherly, N.S. 1987. The diet and growth of 0-group dace, <i>Leuciscus leuciscus</i> (L.), and roach, <i>Rutilus rutilus</i> (L.), in a lowland river. J. Fish Biol. 30:237-247.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
nauplii						Wosnitza, C.V. 1975. Die Nahrung von Fischbrut in der westlichen Ostee. Ber. dt. wiss. Kommn. Meereforsch. 24:79-92.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Alpheus	Animalia | Arthropoda | Malacostraca | Decapoda | Alpheidae | Alpheus	GBIF:2222298	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Alpheus	Animalia | Arthropoda | Malacostraca | Decapoda | Alpheidae | Alpheus	IRMNG:1275659	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Alpheus	Biota | Animalia | Arthropoda | Crustacea | Multicrustacea | Malacostraca | Eumalacostraca | Eucarida | Decapoda | Pleocyemata | Caridea | Alpheoidea | Alpheidae | Alpheus	WORMS:106978	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Asteriscus	Plantae | Magnoliophyta | Magnoliopsida | Asterales | Asteraceae | Asteriscus	IRMNG:1293066	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Asteriscus	Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Asteriscus	GBIF:3115015	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Cyclops	Animalia | Arthropoda | Maxillopoda | Cyclopoida | Cyclopidae | Cyclops	GBIF:8067085	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Cyclops	Animalia | Arthropoda | Maxillopoda | Cyclopoida | Cyclopidae | Cyclops	IRMNG:1304038	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Cyclops	Biota | Animalia | Arthropoda | Crustacea | Multicrustacea | Copepoda | Neocopepoda | Podoplea | Cyclopoida | Cyclopidae | Cyclops	WORMS:149782	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Nauplius	Animalia | Arthropoda | Nauplius	GBIF:3254229	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Nauplius	Animalia | Arthropoda | Nauplius	IRMNG:1290283	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Nauplius	Animalia | Mollusca | Nauplius	GBIF:3243481	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Nauplius	Animalia | Mollusca | Nauplius	IRMNG:1290324	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Nauplius	 | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae |  | Gunneridae | Pentapetalae |  |  | Asterales | Asteraceae | Asteroideae | Inuleae |  | Nauplius	NCBI:41613	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nauplius larvae			Nauplius	Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Nauplius	GBIF:7583519	Kiran, B.R. and E.T. Puttaiah. 2004. Food and feeding habits of <i>Salmostoma untrahi</i> from Bhadra Reservoir, Karnataka. Indian J. Fish. 51(3):335-344.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Naviculoid diatoms						Marais, J.F.K. 1976. The nutritional ecology of mullets in the Swartkops estuary. PhD thesis, University of Port Elizabeth, Port Elizabeth.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Nectocarcinus integrifons			Nectocarcinus	Animalia | Arthropoda | Malacostraca | Decapoda | Macropipidae | Nectocarcinus	IRMNG:1208627	Klumpp, D.W. and P.D. Nichols. 1983. A study of food chains in seagrass communities II. Food of the rock flathead, <i>Platycephalus laevigatus</i> Cuvier, a major predator in a <i>Posidonia australis</i> seagrass bed. Aust. J. Mar. Freshwat. Res. 34(5):745-754.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
